Category,SubCategory,Drink Name,Description,Price (KES),Capacity,ABV,Origin,Special Notes
Rum,All Rum,Bacardi Superior White Rum,Premium white rum with smooth taste,2500,750ML,40,Cuba,Popular
Rum,All Rum,Bacardi Gold Rum,Premium gold rum aged to perfection,2800,750ML,40,Cuba,
Rum,All Rum,Bacardi 8 Year Old Rum,Premium aged rum with rich flavor,4500,750ML,40,Cuba,
Rum,All Rum,Captain Morgan Original Spiced Rum,Spiced rum with vanilla and cinnamon notes,2200,750ML,35,Jamaica,Popular
Rum,All Rum,Captain Morgan White Rum,White spiced rum with smooth finish,2000,750ML,35,Jamaica,
Rum,All Rum,Havana Club 3 Year Old Rum,Cuban white rum aged 3 years,1800,750ML,40,Cuba,
Rum,All Rum,Havana Club 7 Year Old Rum,Premium Cuban rum aged 7 years,3200,750ML,40,Cuba,
Rum,All Rum,Havana Club Especial Rum,Cuban rum with exceptional smoothness,2800,750ML,40,Cuba,
Rum,All Rum,Appleton Estate Signature Blend,Jamaican rum with rich heritage,3500,750ML,40,Jamaica,
Rum,All Rum,Appleton Estate 8 Year Old Reserve,Premium Jamaican rum aged 8 years,5500,750ML,40,Jamaica,
Rum,All Rum,Appleton Estate 12 Year Old Rare Casks,Ultra-premium Jamaican rum aged 12 years,8500,750ML,40,Jamaica,
Rum,All Rum,Mount Gay Eclipse Rum,Barbadian rum with smooth character,2800,750ML,40,Barbados,
Rum,All Rum,Mount Gay Black Barrel Rum,Premium Barbadian rum with rich flavor,4200,750ML,43,Barbados,
Rum,All Rum,Plantation 3 Stars White Rum,Caribbean white rum blend,3200,750ML,41.2,Caribbean,
Rum,All Rum,Plantation Original Dark Rum,Caribbean dark rum with molasses notes,3500,750ML,40,Caribbean,
Rum,All Rum,Diplomatico Reserva Exclusiva,Venezuelan rum aged 12 years,6500,750ML,40,Venezuela,
Rum,All Rum,Diplomatico Planas,Venezuelan white rum with smooth finish,3200,750ML,47,Venezuela,
Rum,All Rum,Zacapa 23 Year Old Rum,Guatemalan rum aged 23 years,12000,750ML,40,Guatemala,
Rum,All Rum,Zacapa XO Rum,Ultra-premium Guatemalan rum,18000,750ML,40,Guatemala,
Rum,All Rum,Ron Abuelo 7 Year Old Rum,Panamanian rum aged 7 years,4500,750ML,40,Panama,
Rum,All Rum,Ron Abuelo 12 Year Old Rum,Premium Panamanian rum aged 12 years,7500,750ML,40,Panama,
Rum,All Rum,Angostura 7 Year Old Rum,Trinidadian rum aged 7 years,3800,750ML,40,Trinidad,
Rum,All Rum,Angostura 1919 Rum,Premium Trinidadian rum,4500,750ML,40,Trinidad,
Rum,All Rum,Myers's Original Dark Rum,Jamaican dark rum with rich flavor,2200,750ML,40,Jamaica,
Rum,All Rum,Gosling's Black Seal Rum,Bermudian dark rum with molasses,2500,750ML,40,Bermuda,
Rum,All Rum,Lambs Navy Rum,Traditional British navy rum,2000,750ML,40,United Kingdom,
Rum,All Rum,Pusser's Navy Rum,Authentic British navy rum,3500,750ML,40,United Kingdom,
Rum,All Rum,Kraken Black Spiced Rum,Spiced rum with bold flavor,2800,750ML,35,Caribbean,
Rum,All Rum,Bumbu Original Rum,Spiced rum with natural flavors,4500,750ML,35,Caribbean,
Rum,All Rum,Bumbu XO Rum,Premium spiced rum aged in bourbon barrels,8500,750ML,40,Caribbean,
Rum,All Rum,Don Q Cristal Rum,Puerto Rican white rum,2200,750ML,40,Puerto Rico,
Rum,All Rum,Don Q Gold Rum,Puerto Rican gold rum aged 2 years,2500,750ML,40,Puerto Rico,
Rum,All Rum,Don Q Añejo Rum,Puerto Rican rum aged 3 years,3200,750ML,40,Puerto Rico,
Rum,All Rum,El Dorado 12 Year Old Rum,Guyanese rum aged 12 years,5500,750ML,40,Guyana,
Rum,All Rum,El Dorado 15 Year Old Rum,Premium Guyanese rum aged 15 years,8500,750ML,40,Guyana,
Rum,All Rum,El Dorado 21 Year Old Rum,Ultra-premium Guyanese rum aged 21 years,15000,750ML,40,Guyana,
Rum,All Rum,Flor de Caña 4 Year Old Rum,Nicaraguan white rum aged 4 years,2200,750ML,40,Nicaragua,
Rum,All Rum,Flor de Caña 7 Year Old Rum,Nicaraguan rum aged 7 years,3500,750ML,40,Nicaragua,
Rum,All Rum,Flor de Caña 12 Year Old Rum,Premium Nicaraguan rum aged 12 years,5500,750ML,40,Nicaragua,
Rum,All Rum,Flor de Caña 18 Year Old Rum,Ultra-premium Nicaraguan rum aged 18 years,12000,750ML,40,Nicaragua,
Rum,All Rum,Ron Centenario 20 Year Old Rum,Costa Rican rum aged 20 years,8500,750ML,40,Costa Rica,
Rum,All Rum,Ron Centenario 25 Year Old Rum,Premium Costa Rican rum aged 25 years,15000,750ML,40,Costa Rica,























